Year,Country,Number
2013,Afghanistan,662
2013,Algeria,216
2013,Angola,505
2013,Australia,18340
2013,Austria,7932
2013,Bahrain,181
2013,Bangladesh,525
2013,Belarus,427
2013,Belgium,11562
2013,Benin,68
2013,Botswana,666
2013,Brazil,2894
2013,Bulgaria,597
2013,Burundi,80
2013,Cameroon,159
2013,Canada,4426
2013,China,41909
2013,Comoros,1147
2013,Congo,411
2013,Croatia,291
2013,Czechia,5545
2013,Denmark,3280
2013,Egypt,514
2013,Estonia,256
2013,Eswatini,283
2013,Ethiopia,334
2013,Finland,1864
2013,France,244737
2013,Gabon,265
2013,Germany,60433
2013,Ghana,435
2013,Greece,831
2013,Hong Kong SAR,1449
2013,Hungary,820
2013,India,57253
2013,Indonesia,1835
2013,Iran,221
2013,Ireland,1806
2013,Israel,552
2013,Italy,31145
2013,Ivory Coast,208
2013,Japan,1754
2013,Jordan,184
2013,Kazakhstan,207
2013,Kenya,2865
2013,"Korea, South",2776
2013,Kuwait,279
2013,Latvia,328
2013,Lebanon,441
2013,Lesotho,145
2013,Lithuania,361
2013,Luxembourg,1007
2013,Madagascar,13941
2013,Malawi,233
2013,Malaysia,3172
2013,Maldives,48
2013,Mayotte,1088
2013,Morocco,445
2013,Mozambique,698
2013,Namibia,1237
2013,Nepal,180
2013,Netherlands,4498
2013,New Zealand,668
2013,Niger,98
2013,Nigeria,907
2013,Norway,3083
2013,Oman,235
2013,Pakistan,994
2013,Philippines,1797
2013,Poland,2998
2013,Portugal,1619
2013,Qatar,362
2013,Reunion Island,143174
2013,Romania,1219
2013,Russia,14903
2013,Rwanda,151
2013,Saudi Arabia,2136
2013,Senegal,179
2013,Serbia,297
2013,Seychelles,7183
2013,Singapore,2110
2013,Slovakia,1580
2013,Slovenia,688
2013,South Africa,94137
2013,Spain,8428
2013,Sri Lanka,492
2013,Sudan,90
2013,Sweden,4576
2013,Switzerland,27751
2013,Taiwan,1592
2013,Tanzania,625
2013,Thailand,330
2013,Togo,41
2013,Tunisia,399
2013,Turkey,705
2013,Uganda,533
2013,Ukraine,1876
2013,United Arab Emirates,8159
2013,United Kingdom,97963
2013,United States of America,5741
2013,Vietnam,541
2013,Zambia,899
2013,Zimbabwe,1526
2014,Afghanistan,687
2014,Algeria,574
2014,Angola,570
2014,Australia,17434
2014,Austria,8303
2014,Bahrain,116
2014,Bangladesh,563
2014,Belarus,483
2014,Belgium,11465
2014,Benin,48
2014,Botswana,758
2014,Brazil,2455
2014,Bulgaria,700
2014,Burundi,100
2014,Cameroon,205
2014,Canada,4669
2014,China,63363
